login,days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repo_activity_density,repository_maintenance_ratio
victorpy,237,4483,3.259,1.1429,0.0,1.0,0.05,0.025,0.0,0.0
dianamelga,22,3470,4.3156,2.6667,0.122,0.878,0.0732,0.0244,0.5263,0.0
Calvarenga96,12,1912,2.8655,0.2963,0.2667,0.7333,0.2,0.0,0.7641,0.0667
juanbjs,5,3006,2.0656,0.3871,0.0588,0.9412,0.6471,0.2353,0.1215,0.0
programandopy,1218,1442,1.7731,24.0,0.0,1.0,0.2857,4.4286,0.0,0.0
EliasMasche,28,4583,0.7173,1.2,0.2222,0.7778,0.0,0.1111,0.1594,0.1111
miguelati,152,5466,1.2028,0.6486,0.0,1.0,0.1667,0.1111,0.0,0.0
DiegoZacarias,10,2403,4.4079,0.7059,0.0,1.0,0.0,0.0,0.0,0.0
fintechinnovaciondev,1251,1746,1.2552,24.0,0.1667,0.8333,0.0,0.1667,0.2092,0.1667
emrocode,12,1709,1.7098,0.5581,0.5,0.5,1.0,0.0,0.8549,0.5
andreszorrilla,60,4848,2.0342,2.3,0.1111,0.8889,0.1481,0.0741,0.226,0.1111
matiasbavera,5,4093,4.4619,1.2105,0.0,1.0,0.1,0.02,0.0,0.0
roquegv,46,4474,1.5511,11.5,0.0,1.0,3.5789,3.0,0.0,0.0526
twinoner,79,2753,4.9089,1.2105,0.3243,0.6757,0.0,0.0,1.5921,0.2703
josepino,18,5540,2.4394,1.0,0.0811,0.9189,0.1892,0.1351,0.1978,0.0811
otroblogdetecno,2046,4422,2.3954,0.6053,0.0,1.0,0.1724,0.4138,0.0,0.0
EverML,14,3940,4.8206,0.7667,0.0385,0.9615,0.0385,0.0192,0.1854,0.0192
OxLuis,5,5393,1.6254,0.92,0.0417,0.9583,0.0833,0.0833,0.0677,0.0
davinun99,10,2711,7.6795,1.0455,0.0526,0.9474,0.1053,0.0,0.4042,0.0
alcabvaldo,70,1805,1.8212,0.7667,0.0,1.0,0.2222,0.0,0.0,0.0
olrtg,19,3646,2.2039,0.575,0.3182,0.6818,27.9545,0.5909,0.7012,0.3636
diosnelv,364,4865,0.7508,1.0,0.0,1.0,0.0,0.0,0.0,0.0
drFrancia,18,755,13.0619,0.697,0.0741,0.9259,0.0,0.0,0.9675,0.037
yoryer,110,5366,0.8849,0.7333,0.0769,0.9231,1.1538,0.0,0.0681,0.0
madnato,51,1865,0.0,1.2222,0.0,0.0,0.0,0.0,0.0,0.0
kararade,11,4588,0.7961,1.8333,0.1,0.9,0.0,0.0,0.0796,0.0
Promipi,4,2144,5.1108,0.9167,0.0667,0.9333,0.4333,0.1,0.3407,0.0
betofleitass,467,1650,1.7709,1.375,0.0,1.0,16.375,10.75,0.0,1.0
ManuCodello,29,622,14.6805,0.6286,0.04,0.96,0.04,0.0,0.5872,0.0
eratzlaff,34,5094,1.8643,1.2941,0.0385,0.9615,0.0,0.0,0.0717,0.0385
pyMbarete,840,3518,0.3115,0.5946,0.3333,0.6667,0.6667,0.0,0.1038,0.0
fer334,87,2644,2.901,0.88,0.0,1.0,0.2381,0.0952,0.0,0.0
hschimpf,33,5683,1.414,1.5714,0.2727,0.7273,1.3182,0.2273,0.3856,0.2727
IvanBenitez85,24,1123,1.301,1.0476,0.0,1.0,0.0,0.0,0.0,0.0
jesusalderetein,33,4992,0.439,1.5714,0.0,1.0,0.1667,0.0,0.0,0.0
creativo369,24,2299,1.1121,0.3385,0.0,1.0,0.2857,0.1429,0.0,0.0
nelruk,14,4711,1.0854,0.88,0.0,1.0,1.1429,0.4286,0.0,0.0
mUcHG0Di,0,5773,0.949,1.5714,0.2,0.8,0.0667,0.0,0.1898,0.7333
viktor992,140,4481,1.7932,1.2222,0.0,1.0,0.0909,0.0455,0.0,0.0
jorgesarabia,45,4535,4.2686,0.6471,0.0189,0.9811,0.1509,0.0377,0.0805,0.0189
mariovillagra,173,4405,1.1608,1.375,0.0714,0.9286,0.3571,0.2143,0.0829,0.0
Richardopy,20,4416,0.4963,0.88,0.0,1.0,0.0,0.3333,0.0,0.0
ssisaias,27,4873,4.5722,1.5714,0.0,1.0,0.3279,0.0,0.0,0.0
atilio-ts,12,3445,1.5903,0.4314,0.4,0.6,0.1333,0.0,0.6361,0.4
valdeortiz,151,3099,3.3001,1.2941,0.0,1.0,0.1429,0.0,0.0,0.0
manununhez,19,4714,3.1768,1.375,0.0488,0.9512,0.122,0.122,0.155,0.0488
RodPy,40,3302,8.2961,1.1579,0.04,0.96,0.1467,0.2133,0.3318,0.0133
ggimenez,243,5544,0.4612,2.2,0.0,1.0,0.4286,0.1429,0.0,0.0
Kuroashi1995,4,2345,4.2054,1.2222,0.1111,0.8889,0.0,0.0,0.4673,0.0741
kedavema,14,1943,5.0755,1.0476,0.0,1.0,0.1852,0.1111,0.0,0.0
Rodri10a,23,336,20.654,1.2941,0.9474,0.0526,0.0526,0.0,19.567,0.4737
aquiandres,64,5571,0.7212,2.75,0.1818,0.8182,0.0,0.0,0.1311,0.1818
woftschik,388,2462,1.4835,1.9091,0.1,0.9,0.0,0.0,0.1484,0.7
analiabritez,230,2686,1.4958,5.25,0.0,1.0,0.2727,0.1818,0.0,0.0
fjriveros,1203,3639,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
Jsebas1198,71,1630,9.4113,0.9545,0.0,1.0,0.0476,0.0,0.0,0.0
Lucas-Andino-G,211,633,8.0782,1.1667,0.0,1.0,0.0,0.0,0.0,0.0
fleitz,4,5802,4.5955,2.3333,0.0274,0.9726,2.4521,0.5068,0.1259,0.0
CTroya,15,2177,5.0333,0.6,0.0667,0.9333,0.0333,0.0333,0.3356,0.0667
antonioforn,582,4444,0.9863,0.525,0.0,1.0,0.0833,0.0833,0.0,0.0
Bancard,2564,3566,0.4097,21.0,0.0,1.0,16.75,7.75,0.0,0.25
isaias-alt,35,1945,8.8261,0.84,0.1702,0.8298,0.0851,0.1489,1.5023,0.0426
morinigoferloni,2099,3887,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0
adc91,20,4098,2.4065,1.6154,0.0,1.0,0.1852,0.1111,0.0,0.0
softwarerero,4,4964,2.8696,1.05,0.0,1.0,2.2051,2.1795,0.0,0.0256
DavidVer98,26,2604,6.1717,0.875,0.0227,0.9773,0.1136,0.0,0.1403,0.0
joseparedespy,18,3683,0.9917,0.75,0.0,1.0,0.5,0.2,0.0,0.1
NazarioLuis,34,4595,1.8282,1.75,0.1304,0.8696,0.087,0.087,0.2385,0.1304
Elias-Gill,1,1934,6.61,5.25,0.4571,0.5429,1.7429,0.3429,3.0217,0.2857
yank07,58,4946,2.5108,1.8182,0.0294,0.9706,0.1176,0.0588,0.0738,0.0294
